"","startTime","duration","app","endTime","date","category"
"64",2023-01-22 14:57:36,69.916,"rstudio",2023-01-22 14:58:46,2023-01-22,"studies"
"65",2023-01-22 14:57:32,3.312,"chrome",2023-01-22 14:57:36,2023-01-22,"studies"
"66",2023-01-22 14:57:29,1.118,"rstudio",2023-01-22 14:57:31,2023-01-22,"studies"
"67",2023-01-22 14:57:21,7.819,"rstudio",2023-01-22 14:57:29,2023-01-22,"studies"
"68",2023-01-22 14:56:25,54.46,"chrome",2023-01-22 14:57:20,2023-01-22,"studies"
"69",2023-01-22 14:56:18,5.557,"chrome",2023-01-22 14:56:24,2023-01-22,"studies"
"70",2023-01-22 14:56:02,15.612,"chrome",2023-01-22 14:56:18,2023-01-22,"studies"
"71",2023-01-22 14:55:55,5.557,"chrome",2023-01-22 14:56:01,2023-01-22,"studies"
"72",2023-01-22 14:55:52,2.228,"chrome",2023-01-22 14:55:55,2023-01-22,"studies"
"73",2023-01-22 14:55:46,4.386,"chrome",2023-01-22 14:55:51,2023-01-22,"studies"
"74",2023-01-22 14:55:42,3.334,"chrome",2023-01-22 14:55:46,2023-01-22,"studies"
"75",2023-01-22 14:55:29,11.132,"chrome",2023-01-22 14:55:41,2023-01-22,"studies"
"76",2023-01-22 14:55:28,0,"chrome",2023-01-22 14:55:28,2023-01-22,"studies"
"77",2023-01-22 14:55:21,6.609,"rstudio",2023-01-22 14:55:28,2023-01-22,"studies"
"78",2023-01-22 14:55:20,0,"chrome",2023-01-22 14:55:20,2023-01-22,"studies"
"79",2023-01-22 14:54:17,61.457,"Discord",2023-01-22 14:55:19,2023-01-22,"other"
"80",2023-01-22 14:54:16,0,"chrome",2023-01-22 14:54:16,2023-01-22,"studies"
"81",2023-01-22 14:54:15,0,"rstudio",2023-01-22 14:54:15,2023-01-22,"studies"
"82",2023-01-22 14:54:07,6.606,"rstudio",2023-01-22 14:54:14,2023-01-22,"studies"
"83",2023-01-22 14:54:05,1.105,"rstudio",2023-01-22 14:54:07,2023-01-22,"studies"
"84",2023-01-22 14:54:03,1.089,"rstudio",2023-01-22 14:54:05,2023-01-22,"studies"
"85",2023-01-22 14:53:46,15.376,"Discord",2023-01-22 14:54:02,2023-01-22,"other"
"86",2023-01-22 14:53:44,1.097,"Discord",2023-01-22 14:53:46,2023-01-22,"other"
"87",2023-01-22 14:52:39,63.867,"rstudio",2023-01-22 14:53:43,2023-01-22,"studies"
"88",2023-01-22 14:52:16,21.974,"Discord",2023-01-22 14:52:38,2023-01-22,"other"
"89",2023-01-22 14:52:00,15.335,"Discord",2023-01-22 14:52:16,2023-01-22,"other"
"90",2023-01-22 14:51:58,0,"rstudio",2023-01-22 14:51:58,2023-01-22,"studies"
"91",2023-01-22 14:51:57,0,"SearchHost",2023-01-22 14:51:57,2023-01-22,"other"
"92",2023-01-22 14:51:42,14.224,"rstudio",2023-01-22 14:51:57,2023-01-22,"studies"
"93",2023-01-22 14:50:53,48.377,"rstudio",2023-01-22 14:51:42,2023-01-22,"studies"
"94",2023-01-22 14:50:50,1.101,"rstudio",2023-01-22 14:50:52,2023-01-22,"studies"
"95",2023-01-22 14:50:08,41.769,"rstudio",2023-01-22 14:50:50,2023-01-22,"studies"
"96",2023-01-22 14:49:55,10.959,"rstudio",2023-01-22 14:50:06,2023-01-22,"studies"
"97",2023-01-22 14:49:53,1.083,"rstudio",2023-01-22 14:49:55,2023-01-22,"studies"
"98",2023-01-22 14:47:17,155.318,"rstudio",2023-01-22 14:49:53,2023-01-22,"studies"
"99",2023-01-22 14:47:16,0,"rstudio",2023-01-22 14:47:16,2023-01-22,"studies"
