"","artistName","category","trackName","energy","startTime","energy_level","duration"
"65","Henry Smith","wolne","Rudolph the Red-Nosed Reindeer - Piano Version",0.0255,2022-12-18 11:26:24,"slow",11
"66","Henry Smith","wolne","Santa Baby - Piano Version",0.00449,2022-12-18 11:11:58,"slow",182
"67","Henry Smith","wolne","The Night Before Christmas Song - Piano Version",0.0386,2022-12-16 14:37:29,"slow",9
"68","Henry Smith","wolne","White Christmas - Piano Version",0.00903,2022-12-18 11:14:39,"slow",112
"69","Ian Wong","inne","I Saw Three Ships",0.0924,2022-12-16 15:54:14,"slow",59
"70","Ian Wong","wolne","I Saw Three Ships",0.0924,2022-12-16 15:54:14,"slow",24
"71","Jason Mraz","studia","Winter Wonderland - Bonus Track",0.305,2022-12-22 18:54:39,"slow",80
"72","Joseph Sullinger","inne","O Come, All Ye FaithFul (Adeste Fideles)",0.221,2022-12-16 15:52:26,"slow",23
"73","Joseph Sullinger","wolne","O Come, All Ye FaithFul (Adeste Fideles)",0.221,2022-12-16 15:52:26,"slow",74
"74","Jos,"inne","Feliz Navidad",0.831,2022-12-18 12:28:57,"fast",149
"75","Jos,"inne","Feliz Navidad",0.831,2022-12-22 13:51:57,"fast",167
"76","Jos,"inne","Feliz Navidad",0.831,2022-12-22 18:55:57,"fast",59
"77","Jos,"studia","Feliz Navidad",0.831,2022-12-18 12:28:57,"fast",3
"78","Jos,"studia","Feliz Navidad",0.831,2022-12-22 18:55:57,"fast",78
"79","Jos,"studia","Feliz Navidad",0.831,2022-12-23 19:56:57,"fast",1
"80","Jos,"wolne","Feliz Navidad",0.831,2022-12-18 12:28:57,"fast",13
"81","Jos,"wolne","Feliz Navidad",0.831,2022-12-23 19:56:57,"fast",223
"82","Jos,"wolne","Feliz Navidad",0.831,2022-12-23 20:33:57,"fast",153
"83","Justin Bieber","inne","Mistletoe",0.56,2022-12-18 12:42:57,"medium",182
"84","KALEO","wolne","Way down We Go",0.505,2022-12-19 10:02:26,"medium",231
"85","Lake Isabel","inne","Jolly Old Saint Nicholas",0.0466,2022-12-16 15:56:04,"slow",79
"86","LemON","inne","Do swiat",0.123,2022-12-22 18:58:56,"slow",63
"87","LemON","studia","Cicha noc",0.0931,2022-12-22 14:06:09,"slow",179
"88","LemON","studia","Tycha nicz",0.0426,2022-12-23 20:48:25,"slow",117
"89","LemON","wolne","Cicha noc",0.0931,2022-12-22 14:06:09,"slow",2
"90","LemON","wolne","Tycha nicz",0.0426,2022-12-23 20:48:25,"slow",78
"91","Maisie Peters","wolne","Worst of You",0.466,2022-12-19 09:59:42,"medium",180
"92","Music Lab Collective","inne","Silent Night (Arr.Guitar)",0.0216,2022-12-16 15:30:19,"slow",101
"93","Nat King Cole","inne","Joy To The World",0.337,2022-12-18 12:41:35,"medium",84
"94","Pawbeats","inne","Pod sniegiem",0.485,2022-12-19 09:58:35,"medium",24
"95","Pentatonix","inne","White Christmas (feat. The Manhattan Transfer)",0.419,2022-12-18 12:45:41,"medium",20
"96","Pierre Oslonn","inne","Angels We Have Heard On High",0.13,2022-12-16 15:44:34,"slow",27
