"","artistName","category","trackName","energy","startTime","energy_level","genre","duration"
"145","Dawid Podsiadło","studia","Pastempomat",0.672,2022-12-28 20:39:57,"fast","polish pop",155
"146","Dawid Podsiadło","studia","Szarość i Róż",0.658,2022-12-27 15:36:18,"medium","polish pop",217
"147","Dawid Podsiadło","studia","Szarość i Róż",0.658,2022-12-27 16:07:18,"medium","polish pop",164
"148","Dawid Podsiadło","studia","Szarość i Róż",0.658,2022-12-28 10:36:18,"medium","polish pop",256
"149","Dawid Podsiadło","studia","TAZOSy",0.638,2022-12-29 18:28:29,"medium","polish pop",183
"150","Dawid Podsiadło","studia","WiRUS",0.575,2022-12-28 11:21:34,"medium","polish pop",25
"151","Dawid Podsiadło","wolne","Nie lubię Cię",0.883,2022-12-27 16:59:18,"fast","polish pop",21
"152","Dawid Tyszkowski","inne","Tlen",0.431,2022-12-28 11:41:47,"medium","polish alternative",4
"153","Dawid Tyszkowski","studia","Tlen",0.431,2022-12-28 11:41:47,"medium","polish alternative",145
"154","Dean Martin","inne","Let It Snow! Let It Snow! Let It Snow!",0.24,2022-12-27 13:02:02,"slow","adult standards",67
"155","Dean Martin","inne","Rudolph The Red-Nosed Reindeer",0.201,2022-12-27 13:27:44,"slow","adult standards",126
"156","Dean Martin","studia","Let It Snow! Let It Snow! Let It Snow!",0.24,2022-12-27 13:02:02,"slow","adult standards",8
"157","Dean Martin","studia","Rudolph The Red-Nosed Reindeer",0.201,2022-12-27 13:27:44,"slow","adult standards",11
"158","Deemz","studia","Tyle O Tobie Wiem",0.509,2022-12-28 10:44:15,"medium","polish hip hop",137
"159","Deluxe","studia","Pony",0.586,2022-12-22 13:54:44,"medium","french indie pop",141
"160","DJ Wielki Huj","studia","1995 - DJ Wielki Huj Remix",0.683,2022-12-28 10:08:53,"fast","klubowe",31
"161","DJ Wielki Huj","wolne","1995 - DJ Wielki Huj Remix",0.683,2022-12-28 10:08:53,"fast","klubowe",32
"162","Doja Cat","inne","Vegas (From the Original Motion Picture Soundtrack ELVIS)",0.601,2022-12-29 16:31:56,"medium","dance pop",66
"163","Doja Cat","studia","Vegas (From the Original Motion Picture Soundtrack ELVIS)",0.601,2022-12-29 16:31:56,"medium","dance pop",23
"164","Doja Cat","wolne","Vegas (From the Original Motion Picture Soundtrack ELVIS)",0.601,2022-12-29 16:31:56,"medium","dance pop",121
"165","Don Poldon","inne","Suota",0.498,2022-12-27 19:00:55,"medium","polish alternative rap",20
"166","Don Poldon","inne","Suota",0.498,2022-12-27 20:25:55,"medium","polish alternative rap",8
"167","Don Poldon","studia","Suota",0.498,2022-12-27 19:00:55,"medium","polish alternative rap",133
"168","Don Poldon","studia","Suota",0.498,2022-12-27 20:25:55,"medium","polish alternative rap",114
"169","Don Poldon","wolne","Suota",0.498,2022-12-27 20:25:55,"medium","polish alternative rap",20
"170","Drew Skinner","studia","Buckycubes Swing (Baker Cat)",0.753,2022-12-22 13:50:01,"fast","electro swing",107
"171","Dwa Sławy","inne","Wstępnie Nie",0.754,2022-12-18 15:44:57,"fast","polish hip hop",1
"172","Dwa Sławy","studia","Wstępnie Nie",0.754,2022-12-18 15:44:57,"fast","polish hip hop",123
"173","Dwa Sławy","wolne","Wstępnie Nie",0.754,2022-12-18 15:44:57,"fast","polish hip hop",101
"174","Ella Fitzgerald","inne","Sleigh Ride",0.287,2022-12-27 13:42:04,"slow","adult standards",53
"175","Ella Fitzgerald","studia","Sleigh Ride",0.287,2022-12-27 13:42:04,"slow","adult standards",59
"176","Elton John","inne","Step Into Christmas",0.925,2022-12-18 20:19:27,"fast","glam rock",61
"177","Elton John","wolne","Step Into Christmas",0.925,2022-12-18 20:19:27,"fast","glam rock",165
"178","Eminem","wolne","Superman",0.755,2022-12-18 16:28:01,"fast","detroit hip hop",125
"179","Frank Sinatra","inne","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)",0.259,2022-12-27 13:15:24,"slow","adult standards",63
"180","Frank Sinatra","studia","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)",0.259,2022-12-27 13:15:24,"slow","adult standards",88
"181","Gallowstreet","inne","Asterix",0.668,2022-12-18 11:21:25,"fast","street band",19
"182","Gallowstreet","inne","Asterix",0.668,2022-12-22 13:14:25,"fast","street band",75
"183","Gallowstreet","studia","Asterix",0.668,2022-12-18 11:21:25,"fast","street band",233
"184","Gallowstreet","studia","Asterix",0.668,2022-12-18 13:41:25,"fast","street band",303
"185","Gallowstreet","studia","Asterix",0.668,2022-12-22 13:14:25,"fast","street band",233
"186","Glass Animals","studia","Heat Waves",0.525,2022-12-29 17:21:01,"medium","gauze pop",238
"187","Gnarls Barkley","studia","Crazy",0.741,2022-12-28 20:08:02,"fast","atl hip hop",135
"188","GoGo Penguin","inne","Hopopono",0.423,2022-12-18 14:04:03,"medium","british jazz",4
"189","GoGo Penguin","studia","Hopopono",0.423,2022-12-18 14:04:03,"medium","british jazz",175
"190","GoGo Penguin","wolne","Hopopono",0.423,2022-12-18 14:04:03,"medium","british jazz",61
"191","Gorillaz","studia","Feel Good Inc.",0.705,2022-12-28 20:20:17,"fast","alternative hip hop",222
"192","Gotye","studia","Somebody That I Used To Know",0.495,2022-12-28 20:10:55,"medium","australian pop",221
"193","Grubson","studia","G D Z I E Ś",0.651,2022-12-21 15:40:34,"medium","polish hip hop",207
"194","Gruby Mielzky","inne","Jak Wyśnię",0.63,2022-12-18 16:09:28,"medium","polish alternative rap",1
"195","Gruby Mielzky","wolne","Jak Wyśnię",0.63,2022-12-18 16:09:28,"medium","polish alternative rap",53
"196","Gruby Mielzky","wolne","Jak Wyśnię",0.63,2022-12-18 16:13:18,"medium","polish alternative rap",213
"197","Guzior","inne","Chabo",0.697,2022-12-18 11:04:51,"fast","polish hip hop",15
"198","Guzior","inne","Chabo",0.697,2022-12-26 23:58:01,"fast","polish hip hop",7
"199","Guzior","inne","Chabo",0.697,2022-12-27 14:44:01,"fast","polish hip hop",25
"200","Guzior","inne","Chabo",0.697,2022-12-27 15:29:01,"fast","polish hip hop",109
"201","Guzior","inne","Chabo",0.697,2022-12-27 16:00:01,"fast","polish hip hop",3
"202","Guzior","studia","Chabo",0.697,2022-12-18 10:52:01,"fast","polish hip hop",37
"203","Guzior","studia","Chabo",0.697,2022-12-18 11:04:51,"fast","polish hip hop",100
"204","Guzior","studia","Chabo",0.697,2022-12-26 22:22:01,"fast","polish hip hop",219
"205","Guzior","studia","Chabo",0.697,2022-12-26 23:58:01,"fast","polish hip hop",53
"206","Guzior","studia","Chabo",0.697,2022-12-27 14:44:01,"fast","polish hip hop",115
"207","Guzior","studia","Chabo",0.697,2022-12-27 15:29:01,"fast","polish hip hop",35
"208","Guzior","studia","Chabo",0.697,2022-12-27 16:00:01,"fast","polish hip hop",152
"209","Guzior","studia","Chabo",0.697,2022-12-28 10:25:01,"fast","polish hip hop",178
"210","Guzior","studia","Chabo",0.697,2022-12-29 18:46:01,"fast","polish hip hop",146
"211","Guzior","studia","Paryż",0.593,2022-12-28 10:04:37,"medium","polish hip hop",70
"212","Guzior","wolne","Chabo",0.697,2022-12-18 10:52:01,"fast","polish hip hop",87
"213","Guzior","wolne","Chabo",0.697,2022-12-27 14:44:01,"fast","polish hip hop",16
"214","Guzior","wolne","Paryż",0.593,2022-12-28 10:04:37,"medium","polish hip hop",23
"215","Gwen Stefani","inne","You Make It Feel Like Christmas (feat. Blake Shelton)",0.87,2022-12-18 21:51:23,"fast","dance pop",156
"216","Hodak","studia","Inny Świat",0.272,2022-12-29 11:45:31,"slow","polish alternative rap",96
"217","Hodak","studia","Online",0.657,2022-12-26 23:26:19,"medium","polish alternative rap",172
"218","Hodak","wolne","Online",0.657,2022-12-26 23:26:19,"medium","polish alternative rap",1
"219","Imagine Dragons","inne","Second Chances",0.567,2022-12-18 10:58:22,"medium","modern rock",2
"220","Imagine Dragons","studia","Radioactive",0.784,2022-12-28 20:04:53,"fast","modern rock",28
"221","Imagine Dragons","studia","Second Chances",0.567,2022-12-18 10:58:22,"medium","modern rock",211
"222","Imagine Dragons","wolne","Second Chances",0.567,2022-12-18 10:58:22,"medium","modern rock",8
"223","J. Cole","wolne","She Knows (feat. Amber Coffman & Cults)",0.74,2022-12-29 18:13:57,"fast","conscious hip hop",159
"224","Jack Harlow","inne","First Class",0.582,2022-12-29 16:25:06,"medium","deep underground hip hop",41
"225","Jack Harlow","studia","First Class",0.582,2022-12-29 16:25:06,"medium","deep underground hip hop",44
"226","Jan-Rapowanie","studia","Bąbelek",0.57,2022-12-28 20:47:54,"medium","polish hip hop",207
"227","Jan-Rapowanie","studia","Co ja wiem?",0.745,2022-12-29 11:42:02,"fast","polish hip hop",177
"228","Jan-Rapowanie","studia","Wybory",0.739,2022-12-29 17:09:27,"fast","polish hip hop",250
"229","John Frusciante","inne","Murderers",0.753,2022-12-18 13:18:19,"fast","acoustic rock",7
"230","John Frusciante","inne","Murderers",0.753,2022-12-22 12:35:19,"fast","acoustic rock",147
"231","John Frusciante","inne","Ramparts",0.428,2022-12-22 13:05:49,"medium","acoustic rock",65
"232","John Frusciante","studia","Murderers",0.753,2022-12-18 13:18:19,"fast","acoustic rock",81
"233","John Frusciante","studia","Murderers",0.753,2022-12-22 13:21:19,"fast","acoustic rock",160
"234","John Frusciante","studia","Ramparts",0.428,2022-12-18 14:10:49,"medium","acoustic rock",59
"235","John Frusciante","wolne","Murderers",0.753,2022-12-18 13:18:19,"fast","acoustic rock",30
"236","John Lennon","inne","Happy Xmas (War Is Over) - Remastered 2010",0.64,2022-12-27 13:38:25,"medium","album rock",106
"237","John Lennon","studia","Happy Xmas (War Is Over) - Remastered 2010",0.64,2022-12-27 13:38:25,"medium","album rock",100
"238","José Feliciano","inne","Feliz Navidad",0.831,2022-12-27 12:42:57,"fast","latin pop",65
"239","José Feliciano","inne","Feliz Navidad",0.831,2022-12-27 12:53:57,"fast","latin pop",132
"240","José Feliciano","studia","Feliz Navidad",0.831,2022-12-27 12:42:57,"fast","latin pop",64
"241","José Feliciano","studia","Feliz Navidad",0.831,2022-12-27 12:53:57,"fast","latin pop",33
"242","José Feliciano","wolne","Feliz Navidad",0.831,2022-12-27 12:42:57,"fast","latin pop",4
"243","K.Flay","inne","Blood In The Cut",0.655,2022-12-29 15:55:51,"medium","electropop",8
"244","K.Flay","studia","Blood In The Cut",0.655,2022-12-29 15:55:51,"medium","electropop",135
"245","Kamil Holden Kryszak","inne","Wszystko",0.267,2022-12-28 20:59:27,"slow","polish alternative",13
"246","Kamil Holden Kryszak","studia","Wszystko",0.267,2022-12-28 20:59:27,"slow","polish alternative",210
"247","Kamil Holden Kryszak","wolne","Wszystko",0.267,2022-12-28 20:59:27,"slow","polish alternative",5
"248","Kaśka Sochacka","inne","Sukienka",0.472,2022-12-29 16:43:32,"medium","polish pop",26
"249","Kaśka Sochacka","studia","Sukienka",0.472,2022-12-29 16:43:32,"medium","polish pop",133
"250","Katy Perry","inne","Cozy Little Christmas",0.608,2022-12-18 20:01:57,"medium","dance pop",1
"251","Katy Perry","wolne","Cozy Little Christmas",0.608,2022-12-18 20:01:57,"medium","dance pop",45
"252","KAYTRANADA","wolne","Vex Oh (feat. Eight9FLY)",0.645,2022-12-18 16:43:17,"medium","escape room",122
"253","KęKę","studia","Gdy przyjdzie czas",0.884,2022-12-21 15:32:50,"fast","polish alternative rap",181
"254","KęKę","studia","Nigdy ponad stan",0.737,2022-12-29 16:10:57,"fast","polish alternative rap",182
"255","Kormac","inne","Big Bad Trumpet Player",0.269,2022-12-22 13:01:02,"slow","electro swing",154
"256","Kormac","studia","Big Bad Trumpet Player",0.269,2022-12-18 14:20:02,"slow","electro swing",146
"257","Kortez","studia","Boję się",0.677,2022-12-29 16:13:36,"fast","polish alternative",171
"258","Kortez","wolne","Boję się",0.677,2022-12-29 16:13:36,"fast","polish alternative",8
"259","Kosa","studia","Zabierz mnie tam",0.56,2022-12-21 14:48:04,"medium","polish alternative rap",175
"260","Kosa","studia","Zabierz mnie tam",0.56,2022-12-26 23:02:04,"medium","polish alternative rap",130
"261","Kosa","studia","Zabierz mnie tam",0.56,2022-12-28 11:59:04,"medium","polish alternative rap",186
"262","Koza","studia","3000",0.74,2022-12-29 16:08:46,"fast","polish alternative rap",134
"263","Kuba Knap","studia","Dobry Wariat",0.637,2022-12-21 16:05:57,"medium","polish alternative rap",243
"264","Kuban","inne","na okrągło",0.525,2022-12-18 10:45:51,"medium","polish alternative rap",8
"265","Kuban","inne","na okrągło",0.525,2022-12-21 15:56:51,"medium","polish alternative rap",3
"266","Kuban","studia","na okrągło",0.525,2022-12-18 10:45:51,"medium","polish alternative rap",91
"267","Kuban","studia","na okrągło",0.525,2022-12-21 15:56:51,"medium","polish alternative rap",119
"268","Kuban","wolne","na okrągło",0.525,2022-12-18 10:45:51,"medium","polish alternative rap",60
"269","Kuban","wolne","na okrągło",0.525,2022-12-21 15:56:51,"medium","polish alternative rap",56
"270","Lack Of Afro","inne","One for the Trouble",0.849,2022-12-22 13:35:55,"fast","bboy",8
"271","Lack Of Afro","studia","One for the Trouble",0.849,2022-12-18 14:15:55,"fast","bboy",244
"272","Lack Of Afro","studia","One for the Trouble",0.849,2022-12-22 13:35:55,"fast","bboy",94
"273","Lack Of Afro","wolne","One for the Trouble",0.849,2022-12-22 13:35:55,"fast","bboy",157
"274","Łajzol","studia","Łajzol Serious",0.69,2022-12-21 16:27:18,"fast","polish alternative rap",219
"275","Laurence Nerbonne","inne","All I Want For Christmas Is You",0.428,2022-12-18 21:53:55,"medium","hip hop quebecois",175
"276","Łona I Webber","studia","Ballada o Szlachetnym Czorcie",0.532,2022-12-21 14:55:43,"medium","polish alternative",164
"277","Łona I Webber","studia","Ballada o Szlachetnym Czorcie",0.532,2022-12-26 22:59:43,"medium","polish alternative",93
"278","Lordofon","inne","04:35",0.572,2022-12-27 19:15:30,"medium","polish alternative",11
"279","Lordofon","inne","Figaro",0.699,2022-12-27 18:40:55,"fast","polish alternative",49
"280","Lordofon","studia","04:35",0.572,2022-12-27 19:15:30,"medium","polish alternative",63
"281","Lordofon","studia","16mm",0.519,2022-12-27 18:50:55,"medium","polish alternative",153
"282","Lordofon","studia","16mm",0.519,2022-12-27 20:12:33,"medium","polish alternative",26
"283","Lordofon","studia","Figaro",0.699,2022-12-27 18:40:55,"fast","polish alternative",47
"284","Louis Villain","studia","1:01",0.556,2022-12-21 16:33:59,"medium","polish alternative rap",64
"285","Louis Villain","studia","Amerykański sen",0.452,2022-12-21 15:51:16,"medium","polish alternative rap",153
"286","Louis Villain","studia","Bellucci",0.629,2022-12-21 16:10:45,"medium","polish alternative rap",194
"287","Louis Villain","studia","Fred Perry",0.723,2022-12-21 15:25:15,"fast","polish alternative rap",146
"288","Louis Villain","studia","Miasto tonie",0.467,2022-12-21 15:06:10,"medium","polish alternative rap",169
"289","Lucky Chops","inne","Behroozi",0.81,2022-12-18 11:17:30,"fast","brass band",2
"290","Lucky Chops","inne","Behroozi",0.81,2022-12-22 13:24:30,"fast","brass band",189
"291","Lucky Chops","inne","Buyo",0.53,2022-12-22 12:38:24,"medium","brass band",255
"292","Lucky Chops","inne","Danza 2016",0.866,2022-12-18 11:25:59,"fast","brass band",13
"293","Lucky Chops","inne","Danza 2016",0.866,2022-12-22 13:41:59,"fast","brass band",29
"294","Lucky Chops","studia","Behroozi",0.81,2022-12-18 11:17:30,"fast","brass band",220
"295","Lucky Chops","studia","Behroozi",0.81,2022-12-18 13:35:30,"fast","brass band",183
"296","Lucky Chops","studia","Buyo",0.53,2022-12-18 11:06:24,"medium","brass band",255
"297","Lucky Chops","studia","Buyo",0.53,2022-12-18 13:21:24,"medium","brass band",272
"298","Lucky Chops","studia","Coco - Live",0.758,2022-12-18 11:14:22,"fast","brass band",218
"299","Lucky Chops","studia","Coco - Live",0.758,2022-12-18 13:51:22,"fast","brass band",171
"300","Lucky Chops","studia","Coco - Live",0.758,2022-12-22 13:10:22,"fast","brass band",182
"301","Lucky Chops","studia","Danza 2016",0.866,2022-12-18 11:25:59,"fast","brass band",272
"302","Lucky Chops","studia","Danza 2016",0.866,2022-12-22 13:41:59,"fast","brass band",162
"303","Lucky Chops","studia","Funkytown / I Feel Good",0.743,2022-12-22 13:58:03,"fast","brass band",189
"304","Lucky Chops","wolne","Buyo",0.53,2022-12-18 11:06:24,"medium","brass band",1
"305","Lucky Chops","wolne","Coco - Live",0.758,2022-12-18 13:51:22,"fast","brass band",30
"306","Lucky Chops","wolne","Danza 2016",0.866,2022-12-22 13:41:59,"fast","brass band",77
"307","Lucky Chops","wolne","Funkytown / I Feel Good",0.743,2022-12-22 13:58:03,"fast","brass band",135
"308","LUNA","studia","Marznę",0.447,2022-12-29 16:08:49,"medium","polish alternative",10
"309","Lyre Le Temps","inne","Brokopoly",0.736,2022-12-22 13:03:41,"fast","electro swing",147
"310","Lyre Le Temps","studia","Brokopoly",0.736,2022-12-18 15:35:08,"fast","electro swing",82
"311","Lyre Le Temps","studia","Done for Tomorrow",0.687,2022-12-18 13:33:05,"fast","electro swing",179
"312","Lyre Le Temps","studia","Prohibition Swing",0.79,2022-12-18 13:48:50,"fast","electro swing",88
"313","Lyre Le Temps","studia","Sad Swing",0.658,2022-12-18 13:55:48,"medium","electro swing",247
"314","Lyre Le Temps","wolne","Prohibition Swing",0.79,2022-12-18 13:48:50,"fast","electro swing",86
"315","M0LLY","studia","Gadka prosta",0.636,2022-12-21 15:21:35,"medium","polish alternative rap",162
"316","Mac Miller","wolne","The Spins",0.766,2022-12-18 20:04:03,"fast","hip hop",39
"317","Magda Kluz","studia","Zimno",0.312,2022-12-27 15:39:40,"slow","polish alternative",90
"318","Magda Kluz","studia","Zimno",0.312,2022-12-28 10:34:40,"slow","polish alternative",127
"319","Małpa","inne","Miałem to rzucić",0.68,2022-12-26 22:43:26,"fast","polish alternative rap",36
"320","Małpa","inne","Miałem to rzucić",0.68,2022-12-27 15:01:26,"fast","polish alternative rap",15
"321","Małpa","studia","Miałem to rzucić",0.68,2022-12-26 22:43:26,"fast","polish alternative rap",39
"322","Małpa","studia","Miałem to rzucić",0.68,2022-12-27 15:01:26,"fast","polish alternative rap",91
"323","Małpa","studia","Najlepsze przed nami",0.635,2022-12-21 15:19:39,"medium","polish alternative rap",166
"324","Małpa","studia","Skała",0.822,2022-12-21 15:05:28,"fast","polish alternative rap",1
"325","Małpa","studia","Tatuaże",0.574,2022-12-29 11:57:36,"medium","polish alternative rap",195
"326","Małpa","wolne","Miałem to rzucić",0.68,2022-12-26 22:43:26,"fast","polish alternative rap",76
"327","Mammal Hands","inne","Kandaiki",0.423,2022-12-22 12:44:44,"medium","contemporary jazz",315
"328","Mammal Hands","studia","Kandaiki",0.423,2022-12-18 13:58:44,"medium","contemporary jazz",285
"329","Manu Chao","studia","Me Gustas Tu",0.741,2022-12-28 20:01:00,"fast","latin alternative",249
"330","Manu Chao","wolne","Me Gustas Tu",0.741,2022-12-28 20:01:00,"fast","latin alternative",18
"331","Mariah Carey","inne","All I Want for Christmas Is You",0.627,2022-12-27 13:32:58,"medium","dance pop",195
