"","startTime","duration","app","endTime","date","category"
"65",2022-12-22 00:19:21,0,"chrome",2022-12-22 00:19:21,2022-12-22,"studia"
"66",2022-12-22 00:19:10,9.547,"chrome",2022-12-22 00:19:19,2022-12-22,"studia"
"67",2022-12-22 00:19:09,0,"chrome",2022-12-22 00:19:09,2022-12-22,"studia"
"68",2022-12-22 00:19:08,0,"chrome",2022-12-22 00:19:08,2022-12-22,"studia"
"69",2022-12-22 00:19:07,0,"chrome",2022-12-22 00:19:07,2022-12-22,"studia"
"70",2022-12-22 00:19:06,0,"chrome",2022-12-22 00:19:06,2022-12-22,"studia"
"71",2022-12-22 00:18:38,27.009,"chrome",2022-12-22 00:19:05,2022-12-22,"studia"
"72",2022-12-22 00:18:30,6.361,"chrome",2022-12-22 00:18:36,2022-12-22,"studia"
"73",2022-12-22 00:18:22,7.433,"chrome",2022-12-22 00:18:29,2022-12-22,"studia"
"74",2022-12-22 00:18:20,1.064,"chrome",2022-12-22 00:18:21,2022-12-22,"studia"
"75",2022-12-22 00:17:57,21.316,"chrome",2022-12-22 00:18:18,2022-12-22,"studia"
"76",2022-12-22 00:17:54,2.121,"chrome",2022-12-22 00:17:56,2022-12-22,"studia"
"77",2022-12-22 00:17:52,1.046,"chrome",2022-12-22 00:17:53,2022-12-22,"studia"
"78",2022-12-22 00:17:35,15.884,"chrome",2022-12-22 00:17:50,2022-12-22,"studia"
"79",2022-12-22 00:17:24,10.538,"chrome",2022-12-22 00:17:34,2022-12-22,"studia"
"80",2022-12-22 00:17:22,0,"Discord",2022-12-22 00:17:22,2022-12-22,"inne"
"81",2022-12-22 00:17:20,1.044,"Discord",2022-12-22 00:17:21,2022-12-22,"inne"
"82",2022-12-22 00:17:13,6.379,"chrome",2022-12-22 00:17:19,2022-12-22,"studia"
"83",2022-12-22 00:16:56,16.006,"chrome",2022-12-22 00:17:12,2022-12-22,"studia"
"84",2022-12-22 00:16:50,5.313,"chrome",2022-12-22 00:16:55,2022-12-22,"studia"
"85",2022-12-22 00:16:47,1.05,"chrome",2022-12-22 00:16:48,2022-12-22,"studia"
"86",2022-12-22 00:16:45,1.072,"explorer",2022-12-22 00:16:46,2022-12-22,"inne"
"87",2022-12-22 00:16:44,0,"Messenger",2022-12-22 00:16:44,2022-12-22,"wolne"
"88",2022-12-22 00:16:33,10.545,"chrome",2022-12-22 00:16:43,2022-12-22,"studia"
"89",2022-12-22 00:15:52,39.907,"Messenger",2022-12-22 00:16:31,2022-12-22,"wolne"
"90",2022-12-22 00:13:24,146.689,"chrome",2022-12-22 00:15:50,2022-12-22,"studia"
"91",2022-12-22 00:13:23,0,"chrome",2022-12-22 00:13:23,2022-12-22,"studia"
